name,slug,description,price,category,image_url,in_stock,colors
Elle,u13-u14-elle,"- Gray Corduroy Fabric
- Dual Side Power Reclining
- USB Ports
- Contrast Stitching
- PU Leather Sides and Back
- Adjustable Headrest
- Reenforced Steel Reclining Mechanism
- Stainless Steel Cup Holder Inserts
- **Armless Chair:** 32""W x 42""D x 33""H
- **Wedge:** 67""W x 44""D x 33""H
- **Console:** 12""W x 39""D x 26""H
- **Power LAF Reclining Chair:** 42""W x 42""D x 33""H
- **Power RAF Reclining Chair:** 42""W x 42""D x 33""H",4279.99,LIVING ROOM COLLECTION,"['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U13_Elle.png', 'https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U14_Elle.png']",True,"['#808080', '#F5F5DC']"
Akira,u15-akira,"- Ivory Woven Fabric
- Dual Side Power Reclining
- USB Ports Adjustable Headrest
- Reenforced Steel Reclining Mechanism
- Stainless Steel Cup Holder Inserts
- **Armless Chair:** 32""W x 41""D x 33""H
- **Wedge:** 66""W x 41""D x 33""H
- **Console:** 13""W x 39""D x 26""H
- **Power LAF Reclining Chair:** 43""W x 41""D x 33""H
- **Power RAF Reclining Chair:** 43""W x 41""D x 33""H",4279.99,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U15_Akira.png'],True,['#FFFFF0']
Hazel,u17-hazel,"- Charcoal Gray Woven Fabric
- Dual Side Power Reclining
- USB Ports
- Power Adjustable Headrest
- Charcoal Gray PU Leather Sides and Back
- Contrast Stitching
- Reenforced Steel Reclining Mechanism
- Stainless Steel Cup Holder Inserts
- **Armless Chair:** 32""W x 41""D x 33""H
- **Wedge:** 66""W x 41""D x 33""H
- **Console:** 13""W x 39""D x 26""H
- **Power LAF Reclining Chair:** 43""W x 41""D x 33""H
- **Power RAF Reclining Chair:** 43""W x 41""D x 33""H",3829.99,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U17_Hazel.png'],True,"['#36454F', '#808080']"
Agrippina,u19-agrippina,"- Ivory Woven Fabric
- Dual Side Power Reclining
- USB Ports
- Power Adjustable Headrest
- Black PU Leather Sides and Back
- Contrast Stitching
- Reenforced Steel Reclining Mechanism
- Stainless Steel Cup Holder Inserts
- **Armless Chair:** 31""W x 39""D x 42""H
- **Wedge:** 63""W x 41""D x 42""H
- **Console:** 12""W x 37""D x 42""H
- **Power LAF Reclining Chair:** 41""W x 39""D x 42""H
- **Power RAF Reclining Chair:** 41""W x 39""D x 42""H",3719.99,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U19_Agrippina.png'],True,"['#000000', '#FFFFF0']"
Edward,u20-edward,"- Black Gel Leather
- Pillow Top Backs and Arms
- Accent Stitching
- Hidden Power Entertainment Tablet
- USB Charging Port
- Cup Holder Console
- Vertical Accent Design
- Three Power Motion Recliners
- **Overall Dim:** 138""W x 148""D x 41""H
- **Wedge:** 69""W x 42""D x 41""H
- **Power LAF Loveseat:** 69""W x 39""D x 41 H
- **Power RAF Sofa:** 79""W x 39""D x 41""H",0.0,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U20_Edward.png'],False,['#000000']
Edward,u21-edward,"- Gray Gel Leather
- Pillow Top Backs and Arms
- Accent Stitching
- Hidden Power Entertainment Tablet
- USB Charging Port
- Cup Holder Console
- Vertical Accent Design
- Three Power Motion Recliners
- **Overall Dim:** 138""W x 148'D x 41""H
- **Power LAF Loveseat:** 69""W x 39""D x 41 H
- **Wedge:** 69""W x 42""D x 41""H
- **Power RAF Sofa:** 79""W x 39""D x 41""H",2819.99,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U21_Edward.png'],True,['#808080']
Atronia,u22-u23-atronia,"- Black Air Gel Leather
- Power Reclining
- Tightly Knit Contrast Stitching
- Cup Holder Console Storage
- Drop Down Built In Tablet Table
- Wireless Charging Capability
- USB Port and Standard Power Outlet
- Stainless Steel Cup Holders
- Reenforced Steel Reclining Mechanism
- **Power LAF Loveseat:** 69""W x 39""D x 41""H
- **Wedge:** 69""W x 42""D x 41""H
- **Power RAF Sofa:** 79""W x 39""D x 41""H
- **Overall Dim:** 138'W x 148""D x 41""H",3149.99,LIVING ROOM COLLECTION,"['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U22_Atronia.png', 'https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U23_Atronia.png']",True,"['#000000', '#808080']"
Philip,u30-u31-u32-u33-philip,"- Black Air Gel Leather
- Power Recliners
- LED Lit Cup Holders
- LED Under Glow
- Complete Wall Hugger
- Two Storage Compartments
- Pillowtop Arms
- **Power LAF Loveseat:** 68""W x 38""D x 41""H
- **Wedge:** 63""W x 40""D x 41""H
- **Power RAF Loveseat:** 68""W x 38""D x 41""H",2819.99,LIVING ROOM COLLECTION,"['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U30_Philip.png', 'https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U31_Philip.png', 'https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U32_Philip.png', 'https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U33_Philip.png']",True,"['#000000', '#808080', '#964B00', '#FFFFFF']"
Henry,u35-u36-u37-henry,"- Black Gel Leather
- Power Motion Recliners
- Cup Holder Console with Storage
- Pillowtop Arms and Headrest
- Full LED Underglow
- **Power LAF Loveseat:** 66""W x 38""D x 41 ""H
- Wedge 65""W x 41""D x 41""H
- **Power RAF Loveseat:** 66""W x 38""D x 41""H",2819.99,LIVING ROOM COLLECTION,"['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U35_Henry.png', 'https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U36_Henry.png', 'https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U37_Henry.png']",True,"['#000000', '#808080', '#FF0000']"
Philippa,u51-philippa,"- Gray Treated Microfiber Fabric
- Coil Spring Cushions
- Power Reclining
- Pillowtop Arms and Headrest
- Console Storage
- Oversized Seating
- Reenforced Steel Reclining Mechanism
- USB Ports
- **Power LAF Reclining Chair:** 41""W x 41""D x 42""H
- **Power RAF Reclining Chair:** 41""W x 41""D x 42""H
- **Armless Chair:** 31""W x 41""D x 42""H
- **Power Armless Reclining Chair:** 31""W x 41""D x 42""H
- **Console:** 13""W x 41""D x 42""H
- **Wedge:** 70""W x 43""D x 42""H",2969.99,LIVING ROOM COLLECTION,['https://udrgctjqqcaalqzpbbyg.supabase.co/storage/v1/object/public/product-images/U51_Philippa.png'],True,['#808080']
